"","id","country","year","referendum","protestfinal","ethfrac","lang","relig","win","gwf","protest_cnts","sample_geddes","psyhint","infl","efw","gini","turnout","country_name","type","boycottopp","nelda_index","neldaindex","pop","gwf1","phat","ethfrac1","new_nelda","gwf2"
"107",173,"Malaysia",2008,0,1,0.587999999523163,0.597000002861023,0.665700018405914,1,"party-based",1,1,4,5.44078016281128,45.6300010681152,46.2099990844727,75.9899978637695,38,0,0,2,0.813178300857544,27302348,2,0.135978117585182,2,0.548605442047119,2
"108",30,"Belarus",2008,0,0,0.322200000286102,0.466600000858307,0.611599981784821,1,"personal",0,1,4,14.8379001617432,NA,27.2199993133545,75.6999969482422,6,0,0,3,1.87771654129028,9528000,6,0.311437249183655,2,0.761069178581238,1
"109",187,"Mozambique",1999,0,0,0.693199992179871,0.8125,0.675899982452393,1,"party-based",0,1,3,2.85950994491577,52.2700004577637,47.1100006103516,69.5100021362305,42,1,0,2,0.326107978820801,17798102,2,0.135978117585182,2,0.451394528150558,2
"110",197,"Namibia",2009,0,0,0.63289999961853,0.700500011444092,0.662599980831146,1,"party-based",NA,1,NA,NA,24.7199993133545,63.9000015258789,NA,43,1,0,0,-1.93558049201965,2143498,2,0.135978117585182,2,1.59274138322729e-09,2
"111",224,"Republic of the Congo",2009,0,0,0.874700009822845,0.687099993228912,0.664200007915497,1,"personal",0,1,7,5.29932022094727,48.7000007629395,47.3199996948242,66.4000015258789,50,1,0,3,1.64497518539429,3995146,6,0.311437249183655,3,0.714617967605591,1
"112",36,"Burkina Faso",1997,0,0,0.73769998550415,0.722800016403198,0.579800009727478,1,"personal",0,1,7,2.31869006156921,41.4000015258789,46.8499984741211,44.0999984741211,8,0,0,NA,NA,10664982,6,0.311437249183655,3,NA,1
"113",24,"Azerbaijan",2008,0,0,0.204699993133545,0.205400004982948,0.48989999294281,1,"personal",0,1,3,20.7915992736816,67.5500030517578,33.7099990844727,69.8099975585938,5,1,0,1,-0.616713464260101,8763400,6,0.311437249183655,1,0.26322340965271,1
"114",94,"Ethiopia",1995,0,0,0.72350001335144,0.807299971580505,0.624899983406067,1,"party-based",1,1,0,10.0221996307373,57.3300018310547,39.9599990844727,93.6999969482422,21,0,0,3,1.64497518539429,57023519,2,0.135978117585182,3,0.714617967605591,2
"115",191,"Mozambique",2009,0,0,0.693199992179871,0.8125,0.675899982452393,1,"party-based",0,1,5,3.25168991088867,86.4499969482422,45.6599998474121,44.6300010681152,42,1,0,0,-1.93558049201965,23361025,2,0.135978117585182,2,1.59274138322729e-09,2
"116",86,"Egypt",2005,1,0,0.18359999358654,0.023700000718236,0.197899997234344,1,"party-personal-military",4,1,3,NA,51.9000015258789,32.1399993896484,22.8999996185303,19,1,0,1,-0.616713464260101,71777678,5,0.359868705272675,1,0.26322340965271,NA
"117",103,"Gabon",1998,0,0,0.768999993801117,0.782100021839142,0.667400002479553,1,"party-personal",0,1,7,1.44874000549316,17.6599998474121,41.4500007629395,53.8300018310547,23,1,0,2,0.447824716567993,1166525,4,0.575099050998688,3,0.475687116384506,NA
"118",27,"Belarus",2001,0,0,0.322200000286102,0.466600000858307,0.611599981784821,1,"personal",0,1,5,61.1348991394043,NA,30.6599998474121,83.9000015258789,6,1,0,2,0.447824716567993,9928000,6,0.311437249183655,2,0.475687116384506,1
"119",257,"Singapore",2001,0,0,0.385699987411499,0.383500009775162,0.6560999751091,1,"party-based",0,1,7,0.997197985649109,22.3999996185303,42.4799995422363,94.5999984741211,57,0,0,1,-0.738430142402649,4138000,2,0.135978117585182,2,0.238930836319923,2
"120",298,"Tunisia",1994,0,0,0.0394000001251698,0.0124000003561378,0.0104000000283122,1,"party-based",0,1,4,4.73323011398315,47.7400016784668,41.6599998474121,95.5,65,0,0,4,3.074866771698,8815400,2,0.135978117585182,1,1,2
"121",185,"Mexico",2000,0,0,0.541800022125244,0.151099994778633,0.17960000038147,0,"party-based",NA,1,NA,NA,16.7999992370605,51.8699989318848,63,40,0,0,0,-1.93558049201965,103873607,2,0.135978117585182,2,1.59274138322729e-09,2
"122",190,"Mozambique",2004,0,0,0.693199992179871,0.8125,0.675899982452393,1,"party-based",0,1,4,NA,52.2700004577637,45.6599998474121,36.4199981689453,42,0,0,0,-1.93558049201965,20438827,2,0.135978117585182,2,1.59274138322729e-09,2
"123",132,"Guinea",2002,0,0,0.738900005817413,0.772499978542328,0.264899998903275,1,"personal",0,1,4,NA,NA,40.2999992370605,71.9800033569336,28,0,0,1,-0.616713464260101,9045748,6,0.311437249183655,3,0.26322340965271,1
"124",322,"Zimbabwe",1990,0,0,0.38740000128746,0.447200000286102,0.736299991607666,1,"party-based",0,1,2,17.362699508667,18.6000003814697,50.0999984741211,NA,71,0,0,1,-0.616713464260101,10461782,2,0.135978117585182,2,0.26322340965271,2
