"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"282","Fairly good","Female","0","2",9,2,6,10,1,6,10
"283","Very good","Male","0","3",10,5,10,10,1,8,9
"284","Very good","Male","0","3",10,8,2,10,1,8,10
"285","Fairly bad","Male","0","3",10,4,10,10,1,10,10
"286","Fairly good","Female","0","2",7,5,4,4,1,4,5
"287","Fairly good","Female","0","2",7,5,5,5,2,5,4
"288","Fairly good","Female","0","2",10,3,2,5,1,4,4
"289","Fairly bad","Female","1","2",6,3,3,9,2,7,7
"290","Fairly good","Male","0","2",7,6,7,9,1,9,4
"291","Fairly good","Female","0","2",7,6,7,10,2,9,9
"292","Very good","Male","1","2",4,5,6,7,1,2,9
"293","Fairly bad","Female","1","2",8,6,5,6,3,6,7
"294","Fairly good","Male","1","2",3,2,1,9,1,2,9
"295","Very good","Female","1","2",3,7,6,6,2,6,6
"296","Fairly good","Male","0","2",10,1,10,10,1,10,10
"297","Very bad","Male","0","1",6,1,10,9,1,10,9
"298","Very good","Male","0","3",5,10,1,1,1,10,10
"299","Very good","Male","0","2",2,2,2,9,1,5,10
"300","Very good","Male","0","2",NA,2,10,10,1,10,10
"301","Fairly good","Female","0","1",3,6,6,10,2,10,6
"302","Fairly good","Male","1","1",NA,1,1,5,2,NA,10
"303","Very good","Male","1","2",7,1,1,10,2,10,10
"304","Fairly good","Male","1","1",5,1,4,6,2,8,10
"305","Fairly good","Female","1","2",8,6,6,6,3,6,8
"306","Fairly good","Male","0","1",NA,1,3,6,2,8,8
"307","Fairly good","Female","1","2",7,1,6,7,1,10,8
"308","Fairly good","Female","1","3",5,1,6,6,2,9,8
"309","Fairly good","Female","1","2",5,0,0,0,1,0,0
"310","Very good","Female","0","2",5,6,10,10,1,10,10
"311",NA,"Male","1","2",5,5,10,10,1,10,10
"312","Fairly good","Female","0","1",4,NA,NA,7,1,7,7
"313","Fairly bad","Male","0","2",9,0,10,10,2,10,10
"314","Very good","Male","0","3",8,6,10,9,1,10,10
"315",NA,"Female","1","2",NA,3,4,5,1,7,8
"316","Very good","Male","0","2",8,7,7,9,2,10,10
"317","Fairly good","Female","1","3",9,8,7,8,2,8,6
"318","Very good","Female","0","2",8,5,7,6,2,7,4
"319","Fairly good","Female","0","2",7,6,6,6,2,6,7
"320","Fairly bad","Male","0","2",5,10,5,6,1,8,10
"321","Fairly bad","Female","0","2",8,3,3,3,1,4,4
"322","Fairly good","Female","0","3",NA,10,10,10,1,10,10
"323","Very good","Male","1","2",8,1,0,8,2,10,10
"324","Very good","Female","0","2",NA,2,10,10,1,10,10
"325","Very good","Female","1","2",NA,1,10,5,2,10,10
"326","Very good","Male","0","2",5,1,10,10,1,10,10
"327","Fairly good","Male","0","2",6,1,10,10,1,10,10
"328","Fairly good","Female","0","2",5,3,5,5,3,5,4
"329","Fairly good","Male","0","3",6,0,0,10,2,10,10
"330","Fairly good","Male","0","3",8,0,0,0,1,10,10
"331","Fairly good","Male","0","2",8,0,0,6,2,10,10
"332","Fairly good","Female","1","2",7,1,3,6,2,10,9
"333","Fairly good","Female","1","3",6,2,6,6,2,9,9
"334","Very bad","Female","0","1",10,3,1,8,1,10,9
"335","Fairly good","Female","1","2",6,6,2,6,3,6,10
"336","Fairly good","Female","0","2",3,1,6,10,2,10,10
"337","Very bad","Female","1","2",NA,8,NA,7,2,6,4
"338","Fairly bad","Female","1","1",5,1,2,5,1,5,5
"339",NA,"Female","0","1",5,1,8,6,2,8,7
"340","Fairly good","Male","1","2",5,4,6,7,2,8,8
"341",NA,"Female","0","1",NA,0,8,9,2,10,7
"342","Fairly good","Female","0","2",NA,5,6,8,2,9,9
"343","Fairly bad","Female","0","1",2,2,5,8,1,8,8
"344","Very good","Female","1","2",7,1,6,7,2,9,8
"345","Fairly good","Male","1","3",6,2,6,8,1,10,9
"346","Fairly bad","Female","0","2",6,3,6,4,1,6,3
"347","Fairly good","Female","0","2",6,6,6,5,1,7,6
"348","Fairly good","Female","0","3",NA,8,6,6,1,6,8
"349","Fairly good","Female","0","1",NA,10,6,7,2,7,9
"350","Fairly good","Male","0","1",NA,9,8,7,2,8,8
"351",NA,"Male","1","2",5,5,8,10,1,8,7
"352","Fairly good","Female","1","2",6,5,8,9,1,9,8
"353",NA,"Male","0","2",5,6,8,8,1,9,10
"354",NA,"Male","0","3",5,4,10,9,1,9,9
"355","Fairly good","Male","0","2",8,5,7,7,1,8,5
"356","Very good","Male","0","1",6,4,8,6,2,6,8
"357","Fairly good","Male","0","2",6,6,7,5,1,5,5
"358",NA,"Female","1","3",5,5,10,8,1,10,5
"359","Fairly good","Female","0","1",3,1,1,2,1,8,8
"360","Very good","Female","0","1",10,1,10,1,1,10,10
"361","Fairly good","Female","0",NA,NA,0,8,10,1,9,10
"362","Fairly good","Female","0","2",NA,0,0,9,1,10,10
"363","Very good","Male","1","2",5,1,0,10,1,10,9
"364","Fairly good","Male","0","1",NA,1,7,9,2,9,9
"365","Fairly good","Male","0","2",NA,0,5,10,1,10,10
"366","Fairly good","Female","0","3",5,0,0,6,2,10,10
"367","Fairly good","Female","1","3",6,0,0,6,2,10,10
"368","Fairly good","Female","1","2",7,2,3,4,2,6,5
"369","Fairly good","Female","1","3",7,3,4,7,2,8,6
"370","Very good","Female","1","3",5,0,0,0,2,10,10
"371","Very good","Female","0","2",7,6,5,4,1,8,9
"372","Fairly good","Female","0","3",6,6,6,6,1,6,6
"373","Very good","Male","0","2",5,3,6,7,1,9,8
"374","Very good","Male","0","2",5,3,7,7,2,8,8
"375","Fairly bad","Male","0","2",10,1,10,1,4,10,10
"376","Fairly good","Female","1","2",8,2,5,5,2,8,7
"377","Fairly good","Female","0","2",NA,7,6,6,2,6,5
"378","Fairly good","Male","1","2",NA,5,6,7,2,7,4
"379","Fairly good","Female","0","1",NA,8,6,7,2,7,7
"380","Fairly good","Female","0","2",NA,7,6,6,2,7,7
"381","Fairly good","Female","0","2",NA,7,6,6,2,6,7
"382",NA,"Female","1","2",8,7,10,10,1,10,10
"383","Fairly bad","Male","0","3",10,7,8,9,1,10,8
"384","Very good","Female","1","2",NA,6,6,6,2,7,6
"385","Fairly good","Female","1","2",5,5,9,5,3,4,3
"386","Fairly good","Female","1","2",6,4,6,5,2,6,5
